Sample	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
C055_S51_L001_R2_001	398.0	182.0	261.0	160.0	320.0	128.0	142.0	2017.0	195.0	126.0	2889.0	593.0	126.0	1671.0	142.0	65.0	77.0	96.0	111.0	71.0	120.0	77.0	6739.0	115173.0
C056_S52_L001_R1_001	209.0	81.0	165.0	43.0	198.0	51.0	102.0	1808.0	82.0	58.0	2205.0	488.0	61.0	1116.0	79.0	29.0	40.0	38.0	36.0	27.0	46.0	33.0	5972.0	90069.0
C056_S52_L001_R2_001	208.0	84.0	163.0	42.0	203.0	53.0	101.0	1837.0	80.0	59.0	2230.0	492.0	63.0	1140.0	79.0	26.0	41.0	38.0	37.0	26.0	48.0	33.0	5145.0	90808.0
C057_S53_L001_R1_001	576.0	226.0	363.0	131.0	384.0	139.0	228.0	3239.0	186.0	164.0	4105.0	844.0	166.0	2240.0	146.0	78.0	77.0	99.0	116.0	90.0	124.0	90.0	10606.0	162217.0
C057_S53_L001_R2_001	584.0	231.0	361.0	137.0	386.0	134.0	231.0	3284.0	193.0	161.0	4130.0	853.0	165.0	2247.0	148.0	79.0	80.0	95.0	115.0	90.0	124.0	93.0	9210.0	163503.0
C058_S54_L001_R1_001	338.0	107.0	168.0	79.0	219.0	55.0	100.0	2400.0	88.0	83.0	2876.0	591.0	52.0	1371.0	93.0	27.0	38.0	44.0	43.0	23.0	60.0	48.0	6683.0	108930.0
C058_S54_L001_R2_001	342.0	106.0	167.0	80.0	222.0	54.0	101.0	2429.0	86.0	76.0	2923.0	599.0	49.0	1369.0	89.0	24.0	39.0	44.0	46.0	24.0	58.0	48.0	5948.0	109593.0
C059_S55_L001_R1_001	244.0	110.0	194.0	79.0	235.0	64.0	119.0	2381.0	121.0	76.0	2968.0	647.0	63.0	1585.0	87.0	35.0	42.0	53.0	55.0	31.0	58.0	44.0	7945.0	121241.0
C059_S55_L001_R2_001	249.0	113.0	190.0	79.0	240.0	65.0	116.0	2405.0	122.0	78.0	3027.0	666.0	65.0	1595.0	87.0	34.0	47.0	54.0	53.0	28.0	56.0	45.0	6755.0	122308.0
C060_S56_L001_R1_001	141.0	47.0	109.0	58.0	211.0	68.0	71.0	1370.0	95.0	81.0	2748.0	1017.0	52.0	2222.0	118.0	35.0	48.0	49.0	36.0	42.0	53.0	40.0	8089.0	128269.0
C060_S56_L001_R2_001	139.0	47.0	112.0	57.0	219.0	67.0	72.0	1407.0	95.0	81.0	2793.0	1020.0	53.0	2248.0	118.0	34.0	51.0	46.0	37.0	44.0	53.0	38.0	7542.0	128696.0
C061_S57_L001_R1_001	189.0	72.0	130.0	51.0	149.0	32.0	70.0	1410.0	68.0	67.0	1883.0	387.0	38.0	1066.0	50.0	32.0	35.0	34.0	39.0	17.0	23.0	42.0	4820.0	77332.0
C061_S57_L001_R2_001	187.0	76.0	132.0	52.0	157.0	31.0	70.0	1418.0	69.0	68.0	1878.0	386.0	39.0	1076.0	54.0	32.0	37.0	35.0	39.0	17.0	23.0	43.0	4218.0	77899.0
C062_S58_L001_R1_001	155.0	44.0	100.0	30.0	88.0	36.0	50.0	922.0	46.0	43.0	1375.0	223.0	31.0	714.0	50.0	18.0	18.0	11.0	29.0	17.0	27.0	12.0	3423.0	57017.0
C062_S58_L001_R2_001	154.0	42.0	99.0	32.0	88.0	36.0	51.0	928.0	45.0	44.0	1385.0	230.0	32.0	716.0	52.0	19.0	17.0	10.0	28.0	15.0	29.0	13.0	3103.0	57311.0
C063_S59_L001_R1_001	53.0	28.0	60.0	19.0	48.0	15.0	23.0	546.0	20.0	17.0	596.0	139.0	14.0	315.0	24.0	3.0	16.0	13.0	16.0	7.0	15.0	7.0	1792.0	27942.0
C063_S59_L001_R2_001	54.0	29.0	61.0	19.0	48.0	16.0	24.0	559.0	20.0	15.0	606.0	140.0	15.0	322.0	24.0	3.0	16.0	13.0	16.0	7.0	15.0	7.0	1564.0	28135.0
